No.,Time,Source,Destination,Protocol,Length,Info
127,73.51,fe80::207:7:7:7,fe80::203:3:3:3,ICMPv6,102,RPL Control (DODAG Information Object)
128,73.514296,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
129,73.78,fe80::209:9:9:9,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
130,74.02,fe80::202:2:2:2,fe80::203:3:3:3,ICMPv6,102,RPL Control (DODAG Information Object)
131,74.024296,,00:02:00:02:00:02:00:02,IEEE 802.15.4,19,"Ack, Dst: NetSys_02:00:02:00:02"
132,76.57,fe80::202:2:2:2,fe80::203:3:3:3,ICMPv6,102,RPL Control (DODAG Information Object)
133,76.574296,,00:02:00:02:00:02:00:02,IEEE 802.15.4,19,"Ack, Dst: NetSys_02:00:02:00:02"
134,76.74,::207:7:7:7,::201:1:1:1,ICMPv6,93,RPL Control (Destination Advertisement Object)
135,76.744008,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
136,76.89,::207:7:7:7,::201:1:1:1,ICMPv6,94,RPL Control (Destination Advertisement Object)
137,76.89404,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
138,76.91,::201:1:1:1,::207:7:7:7,ICMPv6,51,RPL Control (Destination Advertisement Object Acknowledgment)
139,76.912664,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
140,76.95,::201:1:1:1,::207:7:7:7,ICMPv6,60,RPL Control (Destination Advertisement Object Acknowledgment)
141,76.952952,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
142,77.27,00:04:00:04:00:04:00:04,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: LexmarkP_04:00:04:00:04"
143,77.28,00:05:00:05:00:05:00:05,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Cisco_05:00:05:00:05"
144,77.3,00:07:00:07:00:07:00:07,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Zettamed_07:00:07:00:07"
145,79.36,fe80::207:7:7:7,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
146,80.29,fe80::201:1:1:1,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
147,80.86,fe80::208:8:8:8,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
148,80.86,fe80::206:6:6:6,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
149,81.03,fe80::208:8:8:8,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
150,81.034296,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
151,81.16,::202:2:2:2,::201:1:1:1,ICMPv6,93,RPL Control (Destination Advertisement Object)
152,81.164008,,00:02:00:02:00:02:00:02,IEEE 802.15.4,19,"Ack, Dst: NetSys_02:00:02:00:02"
153,81.2,fe80::206:6:6:6,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
154,81.204296,,00:06:00:06:00:06:00:06,IEEE 802.15.4,19,"Ack, Dst: ToshibaT_06:00:06:00:06"
155,81.21,00:01:00:01:00:01:00:01,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: EquipTra_01:00:01:00:01"
156,81.29,00:09:00:09:00:09:00:09,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Tmt_09:00:09:00:09"
157,81.31,::202:2:2:2,::201:1:1:1,ICMPv6,94,RPL Control (Destination Advertisement Object)
158,81.31404,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
159,81.33,::201:1:1:1,::202:2:2:2,ICMPv6,51,RPL Control (Destination Advertisement Object Acknowledgment)
160,81.332664,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
161,81.49,::201:1:1:1,::202:2:2:2,ICMPv6,60,RPL Control (Destination Advertisement Object Acknowledgment)
162,81.492952,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
163,82.22,fe80::206:6:6:6,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
164,82.224296,,00:06:00:06:00:06:00:06,IEEE 802.15.4,19,"Ack, Dst: ToshibaT_06:00:06:00:06"
165,82.39,fe80::20b:b:b:b,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
166,82.394296,,00:0b:00:0b:00:0b:00:0b,IEEE 802.15.4,19,"Ack, Dst: FujianSt_0b:00:0b:00:0b"
167,83.07,fe80::206:6:6:6,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
168,83.074296,,00:06:00:06:00:06:00:06,IEEE 802.15.4,19,"Ack, Dst: ToshibaT_06:00:06:00:06"
169,84.26,fe80::20b:b:b:b,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
170,84.264296,,00:0b:00:0b:00:0b:00:0b,IEEE 802.15.4,19,"Ack, Dst: FujianSt_0b:00:0b:00:0b"
171,84.6,fe80::208:8:8:8,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
172,84.604296,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
173,85.19,00:02:00:02:00:02:00:02,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: NetSys_02:00:02:00:02"
174,85.2,00:03:00:03:00:03:00:03,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Barracud_03:00:03:00:03"
175,85.25,fe80::202:2:2:2,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
176,85.56,fe80::203:3:3:3,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
177,86.13,::206:6:6:6,::201:1:1:1,ICMPv6,93,RPL Control (Destination Advertisement Object)
178,86.13,fe80::208:8:8:8,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
179,86.3,::206:6:6:6,::201:1:1:1,ICMPv6,93,RPL Control (Destination Advertisement Object)
180,86.304008,,00:06:00:06:00:06:00:06,IEEE 802.15.4,19,"Ack, Dst: ToshibaT_06:00:06:00:06"
181,86.43,::206:6:6:6,::201:1:1:1,ICMPv6,102,RPL Control (Destination Advertisement Object)
182,86.434296,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
183,86.47,fe80::208:8:8:8,fe80::207:7:7:7,ICMPv6,102,RPL Control (DODAG Information Object)
184,86.474296,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
185,86.58,::206:6:6:6,::201:1:1:1,ICMPv6,94,RPL Control (Destination Advertisement Object)
186,86.58404,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
